Pais,sedes,secciones_promedio,PBI
Brazil,11.0,1.6363636363636365,8917.67491057495
United States,9.0,3.3333333333333335,76329.5822652029
Uruguay,8.0,0.5,20795.0423535553
Bolivia,7.0,2.142857142857143,3600.12163486427
Chile,7.0,2.0,15355.4797401048
Spain,7.0,2.2857142857142856,29674.5442864413
China,5.0,3.4,12720.2163182363
Canada,4.0,1.75,54917.6625226262
Germany,4.0,3.5,48717.9911402128
Italy,4.0,3.25,34776.423234274
Paraguay,4.0,0.0,6153.05565720044
Mexico,3.0,3.3333333333333335,11496.5228716049
Australia,2.0,4.0,65099.8459118981
Belgium,2.0,5.5,49926.8254295305
Ecuador,2.0,5.0,6391.28248430643
France,2.0,4.5,40886.2532680273
India,2.0,3.5,2410.88802070689
Israel,2.0,2.5,54930.9388075096
Peru,2.0,3.5,7125.82993135746
South Africa,2.0,2.0,6766.48125429478
Switzerland,2.0,2.5,93259.9057183024
Turkiye,2.0,2.0,10674.5041731531
Algeria,1.0,6.0,4342.63796796522
Angola,1.0,6.0,3000.44423053173
Argentina,1.0,0.0,13650.6046294524
Armenia,1.0,3.0,7018.05150434798
Austria,1.0,11.0,52084.6811953372
Azerbaijan,1.0,5.0,7762.0738285884
Bangladesh,1.0,0.0,2688.30550090738
Barbados,1.0,7.0,20238.7842420154
Bulgaria,1.0,0.0,13974.4492487792
Colombia,1.0,7.0,6624.16539269075
Costa Rica,1.0,2.0,13365.3563992692
Cuba,1.0,5.0,56495.8534866201
Czechia,1.0,5.0,27223.0451937676
Denmark,1.0,4.0,67790.0539923276
Dominican Republic,1.0,3.0,10111.2457110261
"Egypt, Arab Rep.",1.0,6.0,4295.40749561014
El Salvador,1.0,5.0,5127.32166823012
Ethiopia,1.0,4.0,1027.58591095964
Finland,1.0,2.0,50916.2804653208
Greece,1.0,4.0,20867.2690861087
Guatemala,1.0,3.0,5473.20856444589
Guyana,1.0,0.0,18199.4748396968
Haiti,1.0,7.0,1748.25713229469
Honduras,1.0,4.0,3040.17304596842
Hungary,1.0,5.0,18390.1849993244
Indonesia,1.0,5.0,4787.99930771921
"Iran, Islamic Rep.",1.0,1.0,4669.57137993878
Ireland,1.0,4.0,103983.29133582
Jamaica,1.0,3.0,6047.2164567796
Japan,1.0,6.0,33823.5707344332
Kenya,1.0,6.0,2099.30193826696
"Korea, Rep.",1.0,5.0,32422.5744864287
Kuwait,1.0,5.0,41079.5226998138
Libya,1.0,2.0,6716.09598462328
Malaysia,1.0,3.0,11993.1876132994
Morocco,1.0,5.0,3441.99145507813
Mozambique,1.0,8.0,558.298606448221
Netherlands,1.0,4.0,57025.01245598
New Zealand,1.0,3.0,48418.5916631992
Nicaragua,1.0,1.0,2255.42599496242
Nigeria,1.0,6.0,2162.63373428577
Norway,1.0,3.0,106177.197179078
Pakistan,1.0,2.0,1588.8798287911
Panama,1.0,4.0,17357.628633794
Philippines,1.0,4.0,3498.5098055874
Poland,1.0,3.0,18688.0044867103
Portugal,1.0,5.0,24515.2658507319
Qatar,1.0,5.0,87661.4501457275
Romania,1.0,2.0,15786.8017421977
Russian Federation,1.0,13.0,15270.7060546875
Saudi Arabia,1.0,0.0,30447.8837074473
Senegal,1.0,0.0,1598.72643336012
Serbia,1.0,4.0,9537.68286673128
Singapore,1.0,4.0,82807.6290622897
Suriname,1.0,6.0,5858.82466074423
Sweden,1.0,4.0,56373.7885792007
Thailand,1.0,6.0,6909.9562847948
Trinidad and Tobago,1.0,1.0,19629.4653400829
Tunisia,1.0,7.0,3747.41939149283
Ukraine,1.0,4.0,4533.9755859375
United Arab Emirates,1.0,3.0,53707.9800809111
Viet Nam,1.0,4.0,4163.51429874522
West Bank and Gaza,1.0,0.0,3789.32796575153
Albania,0.0,0.0,6810.11404104233
American Samoa,0.0,0.0,19673.3901023197
Andorra,0.0,0.0,41992.7727779758
Antigua and Barbuda,0.0,0.0,19919.7266867883
Aruba,0.0,0.0,33300.8388187011
"Bahamas, The",0.0,0.0,31458.300811739
Bahrain,0.0,0.0,30146.925026365
Belarus,0.0,0.0,7888.26371063212
Belize,0.0,0.0,6984.21695968163
Benin,0.0,0.0,1302.85103626824
Bermuda,0.0,0.0,118774.790656677
Bosnia and Herzegovina,0.0,0.0,7568.79847995923
Botswana,0.0,0.0,7738.87880407803
Brunei Darussalam,0.0,0.0,37152.4769749763
Burkina Faso,0.0,0.0,830.03715033429
Burundi,0.0,0.0,259.025031363515
Cabo Verde,0.0,0.0,3754.30479371603
Cambodia,0.0,0.0,1759.60802346044
Cameroon,0.0,0.0,1563.48894034459
Cayman Islands,0.0,0.0,99624.8854439134
Central African Republic,0.0,0.0,427.058096191269
Chad,0.0,0.0,716.804381134584
Comoros,0.0,0.0,1484.89246472542
"Congo, Dem. Rep.",0.0,0.0,653.656223069354
"Congo, Rep.",0.0,0.0,2649.22502230642
Cote d'Ivoire,0.0,0.0,2486.41219394248
Croatia,0.0,0.0,18570.4039968345
Curacao,0.0,0.0,20501.7522782219
Cyprus,0.0,0.0,32048.240234375
Djibouti,0.0,0.0,3136.11276804873
Dominica,0.0,0.0,8351.19321309293
Equatorial Guinea,0.0,0.0,7182.26538205027
Estonia,0.0,0.0,28247.095992497
Eswatini,0.0,0.0,3986.88663743798
Faroe Islands,0.0,0.0,66979.2773224808
Fiji,0.0,0.0,5356.16439621614
French Polynesia,0.0,0.0,18984.8510962405
Gabon,0.0,0.0,8820.34733682316
"Gambia, The",0.0,0.0,808.278281490135
Georgia,0.0,0.0,6674.95695994589
Ghana,0.0,0.0,2203.55893518303
Grenada,0.0,0.0,9689.08269960317
Guinea,0.0,0.0,1515.16794777584
Guinea-Bissau,0.0,0.0,775.828965745365
"Hong Kong SAR, China",0.0,0.0,48983.6217162934
Iceland,0.0,0.0,73466.7786674708
Iraq,0.0,0.0,5937.19546600271
Jordan,0.0,0.0,4311.00004622061
Kazakhstan,0.0,0.0,11492.031938762
Kiribati,0.0,0.0,1701.97066488808
Kosovo,0.0,0.0,5340.26879794836
Kyrgyz Republic,0.0,0.0,1655.07269765044
Lao PDR,0.0,0.0,2054.43078086496
Latvia,0.0,0.0,21779.5042572825
Lesotho,0.0,0.0,969.935760159406
Liberia,0.0,0.0,754.532842914744
Lithuania,0.0,0.0,25064.808914729
Luxembourg,0.0,0.0,125006.021815486
"Macao SAR, China",0.0,0.0,34584.8590938779
Madagascar,0.0,0.0,516.592615982213
Malawi,0.0,0.0,645.158692067185
Maldives,0.0,0.0,11780.8169102421
Mali,0.0,0.0,833.297255093071
Malta,0.0,0.0,34127.5105566356
Marshall Islands,0.0,0.0,6225.17922244115
Mauritania,0.0,0.0,2065.15551570106
Mauritius,0.0,0.0,10256.2303053576
"Micronesia, Fed. Sts.",0.0,0.0,3713.95536246102
Moldova,0.0,0.0,5714.43048840294
Monaco,0.0,0.0,240862.18244774
Mongolia,0.0,0.0,5045.50470031666
Montenegro,0.0,0.0,10093.4387007266
Myanmar,0.0,0.0,1149.21121846296
Namibia,0.0,0.0,5031.11503011478
Nauru,0.0,0.0,11970.9382798352
Nepal,0.0,0.0,1336.54604729847
New Caledonia,0.0,0.0,35745.1850468561
Niger,0.0,0.0,585.404929171026
North Macedonia,0.0,0.0,6591.47131411961
Oman,0.0,0.0,25056.7948608378
Papua New Guinea,0.0,0.0,3115.92292304288
Puerto Rico,0.0,0.0,35208.6371888414
Rwanda,0.0,0.0,966.232071361993
Samoa,0.0,0.0,3745.56036746313
Sao Tome and Principe,0.0,0.0,2386.6961758184
Seychelles,0.0,0.0,13250.4558332375
Sierra Leone,0.0,0.0,475.795727844622
Sint Maarten (Dutch part),0.0,0.0,35873.0564894806
Slovak Republic,0.0,0.0,21256.8084273666
Slovenia,0.0,0.0,28439.3340989687
Solomon Islands,0.0,0.0,2205.25180509148
Somalia,0.0,0.0,592.103121972088
Sri Lanka,0.0,0.0,3354.38340757565
St. Kitts and Nevis,0.0,0.0,20262.2671364514
St. Lucia,0.0,0.0,13030.9284804245
St. Vincent and the Grenadines,0.0,0.0,9125.32477064743
Sudan,0.0,0.0,1102.146484375
Tajikistan,0.0,0.0,1054.18948358818
Tanzania,0.0,0.0,1192.76647949219
Timor-Leste,0.0,0.0,2389.2958750343
Togo,0.0,0.0,942.649901579536
Turkmenistan,0.0,0.0,8792.5485039672
Turks and Caicos Islands,0.0,0.0,24917.595805527
Tuvalu,0.0,0.0,5221.53279904243
Uganda,0.0,0.0,964.39586947645
United Kingdom,0.0,0.0,46125.2557513568
Uzbekistan,0.0,0.0,2255.15115496772
Vanuatu,0.0,0.0,3231.35129995571
"Yemen, Rep.",0.0,0.0,650.272218352095
Zambia,0.0,0.0,1456.90157015445
Zimbabwe,0.0,0.0,1676.82148896726
